[Polygons]
;;Subcatchment   X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
S103185          13462508.307       305073.368        
S103185          13462327.127       305399.491        
S103185          13463600.000       305491.469        
S103185          13464452.485       303939.908        
S103185          13464183.614       303427.774        
S103185          13464849.389       303402.167        
S103185          13465028.636       303056.476        
S103185          13464887.799       302954.049        
S103185          13465028.636       302672.376        
S103185          13465705.000       303046.031        
S103185          13465873.000       302756.656        
S103185          13465574.598       302605.566        
S1035            13461438.000       309327.406        
S1035            13462693.000       307264.156        
S1035            13463600.000       305491.469        
S1035            13462327.127       305399.491        
S1035            13462508.307       305073.368        
S1035            13462160.684       304861.750        
S1035            13461879.010       305412.294        
S1035            13461214.833       305402.269        
S1035            13459901.000       307696.188        
S1035            13459410.000       308572.531        
S1035            13458826.000       308251.719        
S1035            13457893.000       307739.313        
S1035            13457729.000       308060.781        
S1035            13457537.000       308436.812        
S1035            13458298.000       308861.094        
S1035            13457839.000       309677.063        
S1035            13456827.000       309117.062        
S1035            13456660.000       309400.219        
S1035            13456335.000       309949.250        
S1035            13456202.000       309873.563        
S1035            13456029.000       310168.469        
S1035            13456014.000       310342.000        
S1035            13455565.000       310323.875        
S1035            13455107.000       310305.375        
S1035            13455088.000       310472.438        
S1035            13455129.000       310499.094        
S1035            13455714.000       310521.875        
S1035            13455777.000       310701.563        
S1035            13456899.000       311337.688        
S1035            13456440.000       312153.938        
S1035            13455678.000       311717.719        
S1035            13455617.000       311827.031        
S1035            13455011.000       311476.031        
S1035            13454976.000       312027.969        
S1035            13454975.000       312038.125        
S1035            13454943.000       312556.094        
S1035            13454932.000       312734.031        
S1035            13454984.000       312925.531        
S1035            13453480.000       312865.219        
S1035            13453417.000       314162.062        
S1035            13454908.000       314206.406        
S1035            13455358.000       314219.781        
S1035            13455332.000       314876.531        
S1035            13455315.000       315316.156        
S1035            13456876.000       312953.375        
S1035            13458823.000       312926.812        
S1035            13459227.000       312789.500        
S1035            13459649.000       312028.594        
S1035            13460010.000       311341.656        
S1035            13460592.000       310329.969        
S1035            13460296.000       310289.344        
S1035            13460436.000       310035.656        
S1035            13461045.000       308988.250        
S1035            13461438.000       309327.406        
S1039            13459420.000       315467.563        
S1039            13460179.000       313993.969        
S1039            13461106.000       314510.125        
S1039            13461391.000       313840.562        
S1039            13460999.000       313650.063        
S1039            13461190.000       312970.844        
S1039            13461305.000       311507.094        
S1039            13461399.000       310560.375        
S1039            13461431.000       310342.594        
S1039            13461695.000       309836.344        
S1039            13461819.000       309656.094        
S1039            13461438.000       309327.406        
S1039            13461045.000       308988.250        
S1039            13460436.000       310035.656        
S1039            13460296.000       310289.344        
S1039            13460592.000       310329.969        
S1039            13460010.000       311341.656        
S1039            13459649.000       312028.594        
S1039            13459227.000       312789.500        
S1039            13458823.000       312926.812        
S1039            13456876.000       312953.375        
S1039            13455315.000       315316.156        
S1039            13455947.000       315690.281        
S1039            13456030.000       315573.687        
S1039            13456171.000       315674.656        
S1039            13455950.000       316070.781        
S1039            13456805.000       316538.687        
S1039            13457098.000       315994.875        
S1039            13457601.000       316242.563        
S1039            13457772.000       316577.219        
S1039            13458070.000       316441.750        
S1039            13457876.000       316063.500        
S1039            13458007.000       315979.000        
S1039            13458083.000       315831.375        
S1039            13458384.000       315990.500        
S1039            13458834.000       315153.031        
S1039            13459420.000       315467.563        
S1051            13464416.867       305759.603        
S1051            13464883.000       305548.407        
S1051            13464883.000       305548.281        
S1051            13463600.000       305491.469        
S1051            13462693.000       307264.156        
S1051            13463375.432       307609.683        
S1051            13463375.488       307609.711        
S1051            13464416.867       305759.603        
S105115          13469837.000       296476.406        
S105115          13469245.000       295642.969        
S105115          13468892.000       296279.875        
S105115          13468447.431       297154.061        
S105115          13467942.238       298930.597        
S105115          13468395.638       299193.234        
S105115          13468446.000       299006.219        
S105115          13469558.000       297018.594        
S105115          13469837.000       296476.406        
S105130          13468395.638       299193.234        
S105130          13467942.238       298930.597        
S105130          13467705.899       298793.696        
S105130          13466383.000       301233.781        
S105130          13467053.000       301536.000        
S105130          13467778.000       300162.438        
S105130          13468358.000       299333.000        
S105130          13468395.638       299193.234        
S105140          13465842.509       303812.661        
S105140          13467053.000       301536.000        
S105140          13466383.000       301233.781        
S105140          13465574.598       302605.566        
S105140          13465873.000       302756.656        
S105140          13465705.000       303046.031        
S105140          13465028.636       302672.376        
S105140          13464887.799       302954.049        
S105140          13465028.636       303056.476        
S105140          13464849.389       303402.167        
S105140          13464183.614       303427.774        
S105140          13464452.485       303939.908        
S105140          13463600.000       305491.469        
S105140          13464883.000       305548.281        
S105140          13465842.509       303812.661        
S105515          13470549.879       297479.922        
S105515          13470343.000       297189.281        
S105515          13469837.000       296476.406        
S105515          13469558.000       297018.594        
S105515          13468446.000       299006.219        
S105515          13468395.638       299193.234        
S105515          13469451.112       299700.090        
S105515          13469659.000       299315.469        
S105515          13470549.879       297479.922        
S105530          13468271.000       301874.687        
S105530          13469287.000       300003.719        
S105530          13469451.112       299700.090        
S105530          13468395.638       299193.234        
S105530          13468358.000       299333.000        
S105530          13467778.000       300162.438        
S105530          13467053.000       301536.000        
S105530          13465842.509       303812.661        
S105530          13466311.421       303964.637        
S105530          13467088.406       304047.935        
S105530          13468127.000       302171.125        
S105530          13467562.000       301871.875        
S105530          13467675.000       301617.781        
S105530          13468271.000       301874.687        
S105545          13466246.000       305570.219        
S105545          13467088.406       304047.935        
S105545          13466311.421       303964.637        
S105545          13465842.509       303812.661        
S105545          13464883.000       305548.281        
S105545          13464883.000       305548.407        
S105545          13464416.867       305759.603        
S105545          13463375.488       307609.711        
S105545          13464596.093       308226.247        
S105545          13465037.306       307476.762        
S105545          13465325.367       307310.573        
S105545          13466246.000       305570.219        
S105905          13470145.982       299605.529        
S105905          13470050.194       299527.932        
S105905          13470911.000       297987.438        
S105905          13470800.000       297831.312        
S105905          13470549.879       297479.922        
S105905          13469659.000       299315.469        
S105905          13469451.112       299700.090        
S105905          13469820.822       299995.066        
S105905          13470145.982       299605.529        
S1063            13471456.019       298587.270        
S1063            13471258.000       298358.375        
S1063            13471005.000       298134.844        
S1063            13470911.000       297987.438        
S1063            13470050.194       299527.932        
S1063            13470145.982       299605.529        
S1063            13470548.103       299822.612        
S1063            13471005.366       299050.346        
S1063            13471310.208       298908.086        
S1063            13471456.019       298587.270        
S106705          13472318.761       299335.225        
S106705          13472004.000       299134.406        
S106705          13471754.000       299402.750        
S106705          13471854.000       299044.156        
S106705          13471456.019       298587.270        
S106705          13471310.208       298908.086        
S106705          13471005.366       299050.346        
S106705          13470548.103       299822.612        
S106705          13470145.982       299605.529        
S106705          13469820.822       299995.066        
S106705          13470129.785       300241.575        
S106705          13470537.941       300909.882        
S106705          13470639.555       301600.856        
S106705          13471137.464       301834.568        
S106705          13471808.116       300584.717        
S106705          13471696.000       300513.375        
S106705          13472318.761       299335.225        
S106715          13470639.555       301600.856        
S106715          13470537.941       300909.882        
S106715          13470129.785       300241.575        
S106715          13469820.822       299995.066        
S106715          13469451.112       299700.090        
S106715          13469287.000       300003.719        
S106715          13468271.000       301874.687        
S106715          13469017.000       302258.469        
S106715          13469308.413       302403.607        
S106715          13469653.900       302566.189        
S106715          13470385.520       302850.708        
S106715          13470639.555       301600.856        
S106730          13470011.893       303654.418        
S106730          13470385.520       302850.708        
S106730          13469653.900       302566.189        
S106730          13469308.413       302403.607        
S106730          13468316.766       304208.380        
S106730          13468771.016       304230.539        
S106730          13469757.070       304175.143        
S106730          13470011.893       303654.418        
S106745          13468771.016       304230.539        
S106745          13468316.766       304208.380        
S106745          13467684.249       305595.278        
S106745          13467142.365       306756.610        
S106745          13466887.542       306601.500        
S106745          13465796.370       308828.195        
S106745          13466310.273       309063.691        
S106745          13468027.795       305601.264        
S106745          13468771.016       304230.539        
S106750          13468316.766       304208.380        
S106750          13469308.413       302403.607        
S106750          13469017.000       302258.469        
S106750          13467131.033       305585.639        
S106750          13467684.249       305595.278        
S106750          13468316.766       304208.380        
S106765          13467684.249       305595.278        
S106765          13467131.033       305585.639        
S106765          13465455.314       308657.153        
S106765          13465796.370       308828.195        
S106765          13466887.542       306601.500        
S106765          13467142.365       306756.610        
S106765          13467684.249       305595.278        
S106770          13469017.000       302258.469        
S106770          13468271.000       301874.687        
S106770          13467675.000       301617.781        
S106770          13467562.000       301871.875        
S106770          13468127.000       302171.125        
S106770          13467088.406       304047.935        
S106770          13466246.000       305570.219        
S106770          13467131.033       305585.639        
S106770          13469017.000       302258.469        
S106785          13467131.033       305585.639        
S106785          13466246.000       305570.219        
S106785          13465325.367       307310.573        
S106785          13465037.306       307476.762        
S106785          13464596.093       308226.247        
S106785          13465455.314       308657.153        
S106785          13467131.033       305585.639        
S107110          13473005.746       299834.587        
S107110          13472576.000       299499.344        
S107110          13472318.761       299335.225        
S107110          13471696.000       300513.375        
S107110          13471808.116       300584.717        
S107110          13471137.464       301834.568        
S107110          13470639.555       301600.856        
S107110          13470385.520       302850.708        
S107110          13470011.893       303654.418        
S107110          13470815.232       304081.288        
S107110          13471529.000       302443.281        
S107110          13471209.000       302256.188        
S107110          13471685.332       301694.227        
S107110          13471848.762       301336.660        
S107110          13471950.376       301377.306        
S107110          13472210.885       300828.361        
S107110          13472098.442       300758.301        
S107110          13473005.746       299834.587        
S107130          13469184.107       306307.727        
S107130          13470233.478       304075.429        
S107130          13470738.662       304266.346        
S107130          13470815.232       304081.288        
S107130          13470011.893       303654.418        
S107130          13469757.070       304175.143        
S107130          13468771.016       304230.539        
S107130          13468027.795       305601.264        
S107130          13466310.273       309063.691        
S107130          13467309.423       309505.047        
S107130          13468449.717       307155.463        
S107130          13469014.759       306667.976        
S107130          13469184.107       306307.727        
S1075            13470051.702       310631.827        
S1075            13469469.009       310379.527        
S1075            13469086.383       310224.590        
S1075            13468341.000       311837.250        
S1075            13467200.000       311307.563        
S1075            13466658.000       312707.281        
S1075            13466465.000       313107.688        
S1075            13465910.000       313389.406        
S1075            13465474.000       313597.906        
S1075            13464527.000       314101.875        
S1075            13464003.000       314380.219        
S1075            13463251.000       314831.656        
S1075            13464711.000       315574.719        
S1075            13465191.000       315818.750        
S1075            13465416.000       315933.281        
S1075            13465698.000       316079.938        
S1075            13466027.000       316313.000        
S1075            13466275.000       315952.656        
S1075            13466658.000       316113.906        
S1075            13466883.000       315799.469        
S1075            13466536.000       315590.438        
S1075            13466723.000       315305.188        
S1075            13467308.000       315718.500        
S1075            13467727.000       315873.937        
S1075            13468369.000       314493.937        
S1075            13467752.000       314192.469        
S1075            13468200.000       313215.062        
S1075            13468449.000       313347.875        
S1075            13468778.000       313523.844        
S1075            13469460.000       311844.188        
S1075            13469169.000       311699.281        
S1075            13469448.000       311121.094        
S1075            13469772.000       311235.906        
S1075            13470051.702       310631.827        
S107510          13474147.000       300724.875        
S107510          13473005.746       299834.587        
S107510          13472098.442       300758.301        
S107510          13472210.885       300828.361        
S107510          13471950.376       301377.306        
S107510          13471848.762       301336.660        
S107510          13471685.332       301694.227        
S107510          13471209.000       302256.188        
S107510          13471529.000       302443.281        
S107510          13470815.232       304081.288        
S107510          13470738.662       304266.346        
S107510          13470233.478       304075.429        
S107510          13469184.107       306307.727        
S107510          13470388.479       306840.108        
S107510          13470670.040       306102.355        
S107510          13471025.688       305970.257        
S107510          13471558.843       304795.071        
S107510          13471505.000       304426.031        
S107510          13472477.000       302043.906        
S107510          13472638.000       301639.594        
S107510          13473458.000       301999.188        
S107510          13473598.000       301637.156        
S107510          13473909.000       301788.437        
S107510          13473861.000       301447.094        
S107510          13474147.000       300724.875        
S107530          13470908.980       307070.190        
S107530          13470388.479       306840.108        
S107530          13469184.107       306307.727        
S107530          13469014.759       306667.976        
S107530          13468449.717       307155.463        
S107530          13467309.423       309505.047        
S107530          13469086.383       310224.590        
S107530          13469469.009       310379.527        
S107530          13470908.980       307070.190        
S1081            13470540.311       314342.259        
S1081            13470779.656       313797.748        
S1081            13470452.128       313666.737        
S1081            13470755.092       312995.305        
S1081            13470902.479       312929.799        
S1081            13470861.538       312716.906        
S1081            13471179.373       312025.476        
S1081            13471328.265       311701.570        
S1081            13471425.334       311742.015        
S1081            13472408.637       312151.725        
S1081            13472409.107       312151.921        
S1081            13472419.281       312127.011        
S1081            13472643.997       311576.845        
S1081            13472547.906       311534.247        
S1081            13471574.620       311114.727        
S1081            13471969.000       310220.781        
S1081            13471895.000       310195.000        
S1081            13471386.000       310459.156        
S1081            13471313.000       310623.594        
S1081            13471136.000       310711.031        
S1081            13471196.000       310557.656        
S1081            13470805.000       310760.312        
S1081            13470543.697       310844.856        
S1081            13470051.702       310631.827        
S1081            13469772.000       311235.906        
S1081            13469448.000       311121.094        
S1081            13469169.000       311699.281        
S1081            13469460.000       311844.188        
S1081            13468778.000       313523.844        
S1081            13468449.000       313347.875        
S1081            13468200.000       313215.062        
S1081            13467752.000       314192.469        
S1081            13468369.000       314493.937        
S1081            13467727.000       315873.937        
S1081            13467308.000       315718.500        
S1081            13466723.000       315305.188        
S1081            13466536.000       315590.438        
S1081            13466883.000       315799.469        
S1081            13466658.000       316113.906        
S1081            13466275.000       315952.656        
S1081            13466027.000       316313.000        
S1081            13467115.000       316884.438        
S1081            13467717.271       317222.460        
S1081            13467727.507       317109.873        
S1081            13468085.740       317253.166        
S1081            13468171.787       317063.862        
S1081            13468239.269       316915.403        
S1081            13468003.858       316761.874        
S1081            13468504.552       315801.359        
S1081            13468505.385       315799.761        
S1081            13469305.781       313896.006        
S1081            13469313.969       313871.442        
S1081            13470534.010       314338.169        
S1081            13470540.311       314342.259        
S108110          13472978.000       305613.500        
S108110          13473112.000       305261.719        
S108110          13473233.000       305323.437        
S108110          13473458.000       304809.844        
S108110          13473013.000       304624.844        
S108110          13473571.000       303319.938        
S108110          13473887.000       303086.969        
S108110          13474307.819       302942.161        
S108110          13474450.079       302627.157        
S108110          13474178.079       302434.066        
S108110          13474710.000       301246.188        
S108110          13474147.000       300724.875        
S108110          13473861.000       301447.094        
S108110          13473909.000       301788.437        
S108110          13473598.000       301637.156        
S108110          13473458.000       301999.188        
S108110          13472638.000       301639.594        
S108110          13472477.000       302043.906        
S108110          13471505.000       304426.031        
S108110          13471558.843       304795.071        
S108110          13471025.688       305970.257        
S108110          13470670.040       306102.355        
S108110          13470388.479       306840.108        
S108110          13470908.980       307070.190        
S108110          13471772.559       307464.002        
S108110          13472083.000       306763.031        
S108110          13472437.000       306935.094        
S108110          13472671.000       306406.563        
S108110          13472356.000       306286.656        
S108110          13472595.000       305732.219        
S108110          13472059.000       305719.688        
S108110          13472094.000       305594.781        
S108110          13472978.000       305613.500        
S108135          13470805.000       310760.312        
S108135          13471063.000       310137.094        
S108135          13470668.000       309977.469        
S108135          13470909.000       309421.875        
S108135          13471284.000       309590.125        
S108135          13471524.000       309037.812        
S108135          13471144.000       308883.281        
S108135          13471772.559       307464.002        
S108135          13470908.980       307070.190        
S108135          13469469.009       310379.527        
S108135          13470051.702       310631.827        
S108135          13470543.697       310844.856        
S108135          13470805.000       310760.312        
S108520          13475487.000       301797.750        
S108520          13475080.000       301547.625        
S108520          13474710.000       301246.188        
S108520          13474178.079       302434.066        
S108520          13474450.079       302627.157        
S108520          13474307.819       302942.161        
S108520          13473887.000       303086.969        
S108520          13473571.000       303319.938        
S108520          13473013.000       304624.844        
S108520          13473458.000       304809.844        
S108520          13473233.000       305323.437        
S108520          13473112.000       305261.719        
S108520          13472978.000       305613.500        
S108520          13474157.000       305727.688        
